Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Разработчик С++ / Python (HSM) | None | 0 руб | Участие в разработке новых возможностей продукта. Сопровождение предыдущих версий продукта: доработки и исправление ошибок. Проведение review кода других программистов в... | https://hh.ru/vacancy/69604821
Data Engineer (Python), remote | Удаленная работа | 0 руб | Develop analytical tools across numerous DeFi projects. Study DeFi protocols to analyze investment opportunities. Build data pipelines from multiple blockchain... | https://hh.ru/vacancy/70195991
Senior backend developer (Python) | Удаленная работа | 0 руб | 1. <highlighttext>Python</highlighttext>, структуры данных. | https://hh.ru/vacancy/69670516
Developer Python | None | от 130000 руб | Разработка Gui - приложения для управления кластеров PostgreSQL. | https://hh.ru/vacancy/67411307
Python-разработчик (Совкомбанк Технологии) | None | 0 руб | Развитием собственных систем (разработка продукта, интеграция с внешними и внутренними сервисами, доработка текущего функционала). Реализация и сопровождение системы в боевом... | https://hh.ru/vacancy/69063317
Data Engineer | Удаленная работа | 0 руб | Точная геолокация, анализ активности ребёнка и контроль окружения ребенка для того, чтобы помочь родителям обеспечивать безопасность детей. Аналитика использования приложений... | https://hh.ru/vacancy/70478488
Преподаватель курса DEV-PYWEB (Разработка WEB приложений на языке Python) | None | 0 руб | Ведение практических занятий в группах слушателей (до 13 человек). Ведение лекционных занятий в потоке (до 60 человек). Представления и привязки... | https://hh.ru/vacancy/70527618
SQL разработчик | None | 0 руб | Разработка процедур обработки данных и автоматизации процессов взыскания. Участие в развитии в проектировании DWH CLickHouse. Автоматизация скоринговых и оценочных моделей.  | https://hh.ru/vacancy/70052756
Senior/Middle Python разработчик | Удаленная работа | 0 руб | Принимать прямое участие в создании продукта, который несет реальную пользу людям и быстро растет. | https://hh.ru/vacancy/70348228
Python QA Automation Engineer | None | 100000 - 120000 руб | Автоматизировать кейсы для UI и API. Участвовать в разработке стратегии автоматизации на проектах. Взаимодействовать с ручными тестировщиками, аналитиками и разработчиками.  | https://hh.ru/vacancy/68507029
Системный программист (Linux) | None | от 180000 руб | Разработка системного ПО на языке <highlighttext>Python</highlighttext> под ОС Linux. Доработка различных частей существующего кода в соответствии с требованиями.  | https://hh.ru/vacancy/68828856
Программист Python | None | 0 руб | Реализация etl-процессов. Data cleansing. Работа с нереляционными хранилищами Clickhouse. Работа с графовыми хранилищами. | https://hh.ru/vacancy/69954656
DevOps инженер (junior) | Удаленная работа | 0 руб | Разработка и внедрение CI/CD процессов. Мониторинг, поддержка и развитие текущей инфраструктуры. Базы данных (PostgreSQL, MySQL, MongoDB, Redis, Tarantool).  | https://hh.ru/vacancy/70395390
Разработчик программного обеспечения | None | 100000 - 200000 руб | Разработка программного обеспечения для обеспечения функционирования измерительных приборов на платформе NVIDIA JETSON. Программирование ПЛК. | https://hh.ru/vacancy/70000040
Middle/Senior Python Developer | Удаленная работа | до 250000 руб | None | https://hh.ru/vacancy/69054293
Бэкенд-разработчик Python (Junior+) | None | 0 руб | Поддержка и разработка новых фич в микросервисах на <highlighttext>python</highlighttext>, работа с БД mysql и postgres. Используемые инструменты командной разработки: gitlab... | https://hh.ru/vacancy/69950701
Fullstack Python+JS Developer | None | 0 руб | Количество современных угроз возрастает c каждым днем, и теперь необходимы новые продукты для оперативного обнаружения и предотвращения этих угроз.  | https://hh.ru/vacancy/70352702
Senior Programer Python&Go | None | 180000 - 220000 руб | Поддержка готовой системы, разработка новых компонентов (для нее), работа над новыми проектами (с нуля). Создание нейронных сетей. | https://hh.ru/vacancy/70130090
Python developer | None | 160000 - 210000 руб | Участвоать в разработке нового функционала бизнес логики продукта. Определять требования к разработке нового функционала продукта. Участвовать в проектировании архитектуры новых... | https://hh.ru/vacancy/69974186
Преподаватель программирования для детей | Удаленная работа | 40000 - 70000 руб | Обучение детей в группе с помощью наших методических материалов. Взаимодействие с методистом школы по рабочим вопросам. | https://hh.ru/vacancy/69822173
Senior Python-разработчик | None | до 400000 руб | Команда распределенная, общая численность около 55 человек, но в планах масштабироваться дальше. Компания входит в "Реестр аккредитованных организаций, осуществляющих деятельность... | https://hh.ru/vacancy/54899635
Python Developer | None | 0 руб | Совместного эффективного поиска оптимального решения. Разработка на свежем стандарте <highlighttext>Python</highlighttext> 3.10. Применения Docker и Kubernetes. Автоматизации GitLab CI/CD. | https://hh.ru/vacancy/67263401
Разработчик Python | None | 0 руб | Писать чистый, тестируемый код. Разрабатывать новые сервисы и активно участвовать в проработке решений. Развивать существующие решения. Работать с технологиями: Flask... | https://hh.ru/vacancy/45607335
Senior Python developer | Удаленная работа | до 420000 руб | None | https://hh.ru/vacancy/70094842
Разработчик витрин данных | Удаленная работа | 0 руб | Разработка витрин данных и аналитической отчетности на базе Хранилища данных. Сопровождение витрин данных: оптимизация, пересчет, предоставление прав доступа.  | https://hh.ru/vacancy/70470301
Наставник на курс “Асинхронное программирование на Python” | Удаленная работа | 0 руб | Отвечает на вопросы. | https://hh.ru/vacancy/70337844
